"Provider number","Network","Facility name","Address line 1","Address line 2","City","State","Zip","County","Phone number","Profit or Non-Profit","Chain owned","Chain organization","ICH-CAHPS date","ICH-CAHPS data availability code","Lower box percent of patients nephrologists’ communication and caring","Middle box percent of patients nephrologists’ communication and caring","Top box percent of patients nephrologists’ communication and caring","Linearized score of Nephrologists’ communication and caring","Star rating of Nephrologists' communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Linearized score of quality of dialysis center care and operations","Star rating of quality of dialysis center care and operations","Lower box percent of patients-providing information to patients","Top box percent of patients providing information to patients","Linearized score of providing information to patients","Star rating of providing information to patients","Lower box percent of patients-rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Linearized score of rating of the nephrologist","Star rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff","Linearized score of rating of the dialysis center staff","Star rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility","Linearized score of rating of the dialysis facility","Star rating of the dialysis facility","Total number of completed interviews from the Fall and Spring Surveys","ICH CAHPS Quality of patient care star rating"
"012572","08","FMC CAMELLIA","350 PAUL STABLER DRIVE","","GREENVILLE","AL","36037","BUTLER","(334) 383-0006","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012573","08","DCI BIRMINGHAM","8713 PARKWAY EAST","","BIRMINGHAM","AL","35206","JEFFERSON","(205) 838-5400","Non-Profit","Yes","DIALYSIS CLINIC, INC.","04/21/2017 - 01/17/2018","001","8","10","82","91","5","6","12","82","92","5","7","93","93","5","5","16","79","93","5","0","23","77","95","5","0","10","90","97","5","34","5"
"012574","08","FMC CHAMBERS","802 HOSPITAL STREET","","LAFAYETTE","AL","36862","CHAMBERS","(334) 864-9914","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","270","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012575","08","RCG WALKER","3510 3RD STREET NE","","JASPER","AL","35504","WALKER","(205) 221-8775","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012576","08","DCI MONTGOMERY","544 SOUTH MCDONOUGH STREET","","MONTGOMERY","AL","36104","MONTGOMERY","(334) 265-9190","Non-Profit","Yes","DIALYSIS CLINIC, INC.","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012578","08","RCG SOUTHSIDE","2131 MAGNOLIA AVE SOUTH #100","","BIRMINGHAM","AL","35205","JEFFERSON","(205) 322-4382","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012579","08","FMC DAUPHIN ISLAND PKWY","2381 DAUPHIN ISLAND PARKWAY","","MOBILE","AL","36605","MOBILE","(251) 471-2505","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","13","30","57","80","3","20","27","53","76","3","21","79","79","3","14","39","47","83","3","19","46","35","76","1","23","44","33","76","1","36","2"
"012580","08","FMC THOMASVILLE","30230 HWY 43","","THOMASVILLE","AL","36784","CLARKE","(334) 636-1411","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012582","08","FMC WILCOX","229 CAMDEN BYPASS","","CAMDEN","AL","36726","WILCOX","(334) 682-5030","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012583","08","BESSEMER DIALYSIS","901 WESTLAKE MALL","STE 101","BESSEMER","AL","35020","JEFFERSON","(205) 424-1848","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012585","08","ENSLEY DIALYSIS","2630 AVENUE E","","BIRMINGHAM","AL","35218","JEFFERSON","(205) 786-1371","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","36","18","46","65","1","30","19","51","72","2","23","77","77","3","40","34","26","64","1","29","40","31","73","1","10","52","38","80","1","47","2"
"012588","08","SYLACAUGA DIALYSIS","331 JAMES PAYTON BLVD","","SYLACAUGA","AL","35150","TALLADEGA","(256) 249-4994","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012589","08","BIRMINGHAM NORTH DIALYSIS","1917 32ND AVENUE NORTH","","BIRMINGHAM","AL","35207","JEFFERSON","(205) 297-9052","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","20","8","72","81","3","19","13","68","80","3","16","84","84","4","15","29","56","82","3","18","16","66","82","3","12","20","68","86","3","62","3"
"012590","08","DCI MOULTON","1962 MAIN STREET","","MOULTON","AL","35650","LAWRENCE","(256) 974-1400","Non-Profit","Yes","DIALYSIS CLINIC, INC.","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012591","08","FMC SHELBY","1022 FIRST STREET NORTH","SUITE 101","ALABASTER","AL","35007","SHELBY","(205) 620-6867","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012592","08","BIRMINGHAM CENTRAL DIALYSIS","728 RICHARD ARRINGTON BLVD S","","BIRMINGHAM","AL","35233","JEFFERSON","(205) 250-6760","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","16","15","69","84","4","25","22","53","75","3","20","80","80","4","6","40","54","87","4","8","54","38","82","3","12","40","48","83","2","32","3"
"012593","08","FMC ODYSSEY DIALYSIS","40 HUGHES ROAD","","MADISON","AL","35758","MADISON","(256) 772-4435","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012594","08","BOAZ DIALYSIS","16 CENTRAL HENDERSON ROAD","","BOAZ","AL","35957","MARSHALL","(256) 840-5931","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","19","11","70","82","4","19","17","64","78","3","25","75","75","2","22","21","57","84","3","11","21","68","88","4","15","7","78","90","4","37","3"
"012595","08","RCG FORT PAYNE","2202 JORDAN ROAD SW","SUITE 100","FORT PAYNE","AL","35968","DE KALB","(256) 845-9979","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","14","14","72","84","4","10","16","74","88","5","9","91","91","5","13","19","68","87","4","3","15","82","93","5","7","6","87","93","5","31","5"
"012596","08","FKC MONTGOMERY","1400 NARROW LANE PKWY","","MONTGOMERY","AL","36111","MONTGOMERY","(334) 286-4011","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","26","14","60","77","2","42","14","44","64","1","32","68","68","1","18","32","50","80","2","32","39","29","72","1","39","21","40","71","1","52","1"
"012597","08","FMC BAY MINETTE","2505 HAND AVENUE","","BAY MINETTE","AL","36507","BALDWIN","(251) 580-4448","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012598","08","DCI PHENIX CITY","1611 21ST COURT","","PHENIX CITY","AL","36867","RUSSELL","(334) 448-4840","Profit","Yes","DIALYSIS CLINIC, INC.","04/21/2017 - 01/17/2018","001","3","4","93","97","5","3","11","86","95","5","10","90","90","5","3","11","86","94","5","1","13","86","95","5","2","4","94","97","5","30","5"
"012599","08","FMC PORT CITY","201 ST. JOSEPH STREET, SUITE B","","MOBILE","AL","36602","MOBILE","(251) 652-1025","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","34","17","49","66","1","29","22","49","70","1","26","74","74","2","38","33","29","69","1","15","39","46","78","2","20","31","49","78","1","30","1"
"012600","08","ATMORE DIALYSIS CENTER","807 EAST CRAIG STREET","","ATMORE","AL","36502","ESCAMBIA","(251) 368-5593","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012601","08","FMC WEST","633 LOMB AVENUE","","BIRMINGHAM","AL","35211","JEFFERSON","(205) 781-2366","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","24","12","64","76","2","29","21","50","72","2","20","80","80","4","17","45","38","78","2","21","34","45","80","2","25","24","51","80","1","35","2"
"012602","08","RUSSELLVILLE DIALYSIS","14897 HWY 43","","RUSSELLVILLE","AL","35653","FRANKLIN","(256) 332-7044","Profit","Yes","GAMBRO HEALTHCARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012603","08","FMC FAIRFIELD (STEEL CITY)","6508 E. J. OLIVER BLVD","","FAIRFIELD","AL","35064","JEFFERSON","(205) 780-5122","Profit","Yes","RENAL CARE GROUP INC.","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
