"Provider number","Network","Facility name","Address line 1","Address line 2","City","State","Zip","County","Phone number","Profit or Non-Profit","Chain owned","Chain organization","ICH-CAHPS date","ICH-CAHPS date2","ICH-CAHPS data availability code","Lower box percent of patients nephrologists’ communication and caring","Middle box percent of patients nephrologists’ communication and caring","Top box percent of patients nephrologists’ communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Lower box percent of patients-providing information to patients","Top box percent of patients providing information to patients","Lower box percent of patients-rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility"
"012589","08","BIRMINGHAM NORTH DIALYSIS","1917 32ND AVENUE NORTH","","BIRMINGHAM","AL","35207","JEFFERSON","(205) 297-9052","Profit","Yes","GAMBRO HEALTHCARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","11","14","75","19","20","61","17","83","6","18","76","10","25","65","12","36","52"
"012590","08","DCI MOULTON","1962 MAIN STREET","","MOULTON","AL","35650","LAWRENCE","(256) 974-1400","Non-Profit","Yes","DIALYSIS CLINIC, INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012591","08","FMC SHELBY","1022 FIRST STREET NORTH","SUITE 101","ALABASTER","AL","35007","SHELBY","(205) 620-6867","Profit","Yes","RENAL CARE GROUP INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","5","11","84","10","19","71","14","86","4","10","86","5","25","70","8","21","71"
"012592","08","BIRMINGHAM CENTRAL DIALYSIS","728 RICHARD ARRINGTON BLVD S","","BIRMINGHAM","AL","35233","JEFFERSON","(205) 250-6760","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","21","17","62","29","16","55","25","75","17","19","64","28","24","48","28","28","44"
"012593","08","FMC ODYSSEY DIALYSIS","40 HUGHES ROAD","","MADISON","AL","35758","MADISON","(256) 772-4435","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012594","08","BOAZ DIALYSIS","16 CENTRAL HENDERSON ROAD","","BOAZ","AL","35957","MARSHALL","(256) 840-5931","Profit","Yes","GAMBRO HEALTHCARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","17","18","65","8","19","73","16","84","16","26","58","1","31","68","4","13","83"
"012595","08","RCG FORT PAYNE","2202 JORDAN ROAD SW","SUITE 100","FORT PAYNE","AL","35968","DE KALB","(256) 845-9979","Profit","Yes","RENAL CARE GROUP INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012596","08","FMC MONTGOMERY BAPTIST","1400 NARROW LANE PKWY","","MONTGOMERY","AL","36111","MONTGOMERY","(334) 286-4011","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","28","13","59","38","17","45","32","68","26","16","58","38","28","34","42","22","36"
"012597","08","FMC BAY MINETTE","2505 HAND AVENUE","","BAY MINETTE","AL","36507","BALDWIN","(251) 580-4448","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012598","08","DCI PHENIX CITY","1611 21ST COURT","","PHENIX CITY","AL","36867","RUSSELL","(334) 448-4840","Profit","Yes","DIALYSIS CLINIC, INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","5","12","83","10","18","72","11","89","7","22","71","8","18","74","4","18","78"
"012599","08","FMC PORT CITY","201 ST. JOSEPH STREET, SUITE B","","MOBILE","AL","36602","MOBILE","(251) 652-1025","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","32","13","55","34","18","48","31","69","24","19","57","38","20","42","38","20","42"
"012600","08","ATMORE DIALYSIS CENTER","807 EAST CRAIG STREET","","ATMORE","AL","36502","ESCAMBIA","(251) 368-5593","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012601","08","FMC WEST","633 LOMB AVENUE","","BIRMINGHAM","AL","35211","JEFFERSON","(205) 781-2366","Profit","Yes","RENAL CARE GROUP INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","21","17","62","27","16","57","24","76","23","39","38","10","49","41","10","45","45"
"012602","08","RUSSELLVILLE DIALYSIS","14897 HWY 43","","RUSSELLVILLE","AL","35653","FRANKLIN","(256) 332-7044","Profit","Yes","GAMBRO HEALTHCARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012603","08","FMC FAIRFIELD (STEEL CITY)","6508 E. J. OLIVER BLVD","","FAIRFIELD","AL","35064","JEFFERSON","(205) 780-5122","Profit","Yes","RENAL CARE GROUP INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012604","08","RCG CLANTON","275 HEALTH CENTER DRIVE","","CLANTON","AL","35045","CHILTON","(205) 280-4331","Profit","Yes","RENAL CARE GROUP INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","11","18","71","16","25","59","18","82","14","27","59","17","20","63","8","25","67"
"012606","08","FMC CHASE","1849 KEATS DRIVE NORTHWEST","","HUNTSVILLE","AL","35810","MADISON","(256) 852-8900","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","16","15","69","28","24","48","25","75","6","30","64","24","36","40","23","26","51"
"012607","08","ROANOKE DIALYSIS CLINIC","4459 US HIGHWAY 431","","ROANOKE","AL","36274","RANDOLPH","(334) 863-8365","Profit","No","INDEPENDENT","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012608","08","RCG ONEONTA","150 GILBREATH DRIVE, SUITE 1","","ONEONTA","AL","35121","BLOUNT","(205) 625-6903","Profit","Yes","RENAL CARE GROUP INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","3","6","91","3","26","71","8","92","1","10","89","2","11","87","2","11","87"
"012609","08","EUFAULA DIALYSIS","220 SOUTH ORANGE AVE","","EUFAULA","AL","36027","BARBOUR","(334) 688-0806","Profit","Yes","GAMBRO HEALTHCARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","27","11","62","25","26","49","16","84","25","13","62","25","19","56","31","19","50"
"012610","08","FMC MAGNOLIA","7940 MOFFETT ROAD","","SEMMES","AL","36575","MOBILE","(251) 649-6343","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","15","16","69","11","19","70","16","84","17","23","60","11","12","77","8","24","68"
"012611","08","FMC DALLAS COUNTY","200 SOUTH PARK PL","","SELMA","AL","36701","DALLAS","(334) 872-8460","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012612","08","FMC GARDENDALE","592 FIELDSTOWN ROAD","SUITE 102","GARDENDALE","AL","35071","JEFFERSON","(205) 608-3653","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","15","13","72","17","27","56","29","71","13","30","57","17","25","58","20","8","72"
"012613","08","FMC DISCOVERY","1131 EAGLETREE LN, STE100","","HUNTSVILLE","AL","35801","MADISON","(256) 489-4160","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012614","08","FMC VALLEY CREEK","201 LINCOLN LANE","","SELMA","AL","36701","DALLAS","(334) 875-5436","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","33","18","49","34","14","52","21","79","32","26","42","25","24","51","28","17","55"
"012615","08","FMC AUBURN","211 E UNIVERSITY DR","","AUBURN","AL","36832","LEE","(334) 501-8890","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012616","08","LANDMARK DIALYSIS","717 STONE AVE","","TALLADEGA","AL","35160","TALLADEGA","(256) 362-4449","Non-Profit","No","INDEPENDENT","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","19","18","63","16","24","60","18","82","10","20","70","12","18","70","9","19","72"
"012617","08","FMC ALEXANDER CITY","3368 HWY 280 BYPASS","SUITE G-1","ALEXANDER CITY","AL","35010","TALLAPOOSA","(256) 329-0638","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","17","22","61","16","24","60","25","75","19","32","49","13","35","52","22","31","47"
"012618","08","RRC NORTHRIDGE","4400 WATERMELON ROAD","SUITE A","NORTHPORT","AL","35473","TUSCALOOSA","(205) 722-2968","Profit","No","INDEPENDENT","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012619","08","TUSCALOOSA NEPHROLOGY ASSOC HOME DIALYSIS","1850 MCFARLAND BLVD NORTH","","TUSCALOOSA","AL","35406","TUSCALOOSA","(205) 248-2076","Profit","No","INDEPENDENT","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012620","08","HOME DIALYSIS OF NORTH ALABAMA","1216 SOMMERVILLE ROAD, SE","","DECATUR","AL","35601","MORGAN","(256) 340-0012","Profit","No","INDEPENDENT","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012621","08","RAI-SNOW ST-OXFORD","711 SNOW STREET","","OXFORD","AL","36203","CALHOUN","(256) 835-5914","Profit","No","INDEPENDENT","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","27","14","59","31","22","47","33","67","25","19","56","36","22","42","31","27","42"
"012622","08","DAVITA TALLADEGA","726 E BATTLE STREET","SUITE A","TALLADEGA","AL","35160","TALLADEGA","(256) 362-2332","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012623","08","DAVITA CENTER POINT DIALYSIS","2337 1ST ST NE","","CENTER POINT","AL","35215","JEFFERSON","(205) 520-1108","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","23","25","52","32","23","45","25","75","29","25","46","33","18","49","27","31","42"
"012624","08","FMC MIDFIELD DIALYSIS","613 BESSEMER SUPER HIGHWAY","","BIRMINGHAM","AL","35228","JEFFERSON","(205) 481-0019","Profit","Yes","RENAL CARE GROUP INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012625","08","RAI JACKSONVILLE","331 HENRY RD, S.W.","","JACKSONVILLE","AL","36265","CALHOUN","(256) 435-3161","Profit","Yes","RENAL ADVANTAGE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012626","08","FMC NORTHWEST ALABAMA KIDNEY CENTER","638 TAHOE ROAD","","WINFIELD","AL","35594","MARION","(205) 487-2800","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012627","08","HOME DIALYSIS OPTIONS OF BALDWIN COUNTY","27880 N. MAIN ST, SUITE A","","DAPHNE","AL","36526","BALDWIN","(251) 626-1086","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012628","08","OPELIKA DIALYSIS CENTER","2340 PEPPERELL PKWY","","OPELIKA","AL","36801","LEE","(334) 745-6883","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012629","08","DAVITA RENAISSANCE","1840 DARBY DRIVE","","FLORENCE","AL","35630","LAUDERDALE","(256) 764-2313","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012630","08","DAVITA WIREGRASS KIDNEY CENTER","1450 ROSS CLARK CIRCLE","SUITE 200","DOTHAN","AL","36301","HOUSTON","(334) 792-8907","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","17","12","71","21","15","64","23","77","13","27","60","8","29","63","8","29","63"
"012631","08","GULF SHORES DIALYSIS CENTER","3947 GULF SHORES PARKWAY","","GULF SHORES","AL","36542","BALDWIN","(251) 967-2205","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012632","08","MUSCLE SHOALS DIALYSIS","712 STATE STREET","","MUSCLE SHOALS","AL","35661","COLBERT","(256) 386-7028","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
